MJD;UT1-UTC
61182;0.024643
61183;0.023751
61184;0.022753
61185;0.021689
61186;0.020707
61187;0.019844
61188;0.019038
61189;0.01838
61190;0.01792
61191;0.01767
61192;0.01760
61193;0.01764
61194;0.01770
61195;0.01772
61196;0.01762
61197;0.01734
61198;0.01684
61199;0.01611
61200;0.01520
61201;0.01424
61202;0.01337
61203;0.01268
61204;0.01228
61205;0.01222
61206;0.01242
61207;0.01273
61208;0.01301
61209;0.01313
61210;0.01306
61211;0.01284
61212;0.01254
61213;0.01229
61214;0.01218
61215;0.01226
61216;0.01257
61217;0.01311
61218;0.01386
61219;0.01478
61220;0.01581
61221;0.01688
61222;0.01789
61223;0.01880
61224;0.01953
61225;0.02006
61226;0.02040
61227;0.02061
61228;0.02074
61229;0.02089
61230;0.02118
61231;0.02168
61232;0.02244
61233;0.02342
61234;0.02453
61235;0.02560
61236;0.02649
61237;0.02713
61238;0.02752
61239;0.02775
61240;0.02794
61241;0.02822
61242;0.02867
61243;0.02933
61244;0.03022
61245;0.03131
61246;0.03257
61247;0.03394
61248;0.03533
61249;0.03668
61250;0.03790
61251;0.03895
61252;0.03978
61253;0.04040
61254;0.04085
61255;0.04118
61256;0.04151
61257;0.04193
61258;0.04252
61259;0.04333
61260;0.04434
61261;0.04546
61262;0.04657
61263;0.04752
61264;0.04822
61265;0.04864
61266;0.04882
61267;0.04888
61268;0.04895
61269;0.04915
61270;0.04953
61271;0.05012
61272;0.05091
61273;0.05186
61274;0.05291
61275;0.05399
61276;0.05503
61277;0.05594
61278;0.05667
61279;0.05717
61280;0.05742
61281;0.05747
61282;0.05736
61283;0.05722
61284;0.05715
61285;0.05724
61286;0.05756
61287;0.05808
61288;0.05874
61289;0.05941
61290;0.05998
61291;0.06031
61292;0.06036
61293;0.06015
61294;0.05974
61295;0.05928
61296;0.05888
61297;0.05858
61298;0.05849
61299;0.05862
61300;0.05894
61301;0.05939
61302;0.05990
61303;0.06040
61304;0.06081
61305;0.06106
61306;0.06110
61307;0.06089
61308;0.06045
61309;0.05983
61310;0.05913
61311;0.05846
61312;0.05794
61313;0.05766
61314;0.05761
61315;0.05774
61316;0.05794
61317;0.05808
61318;0.05804
61319;0.05776
61320;0.05722
61321;0.05649
61322;0.05567
61323;0.05486
61324;0.05418
61325;0.05369
61326;0.05343
61327;0.05338
61328;0.05349
61329;0.05370
61330;0.05394
61331;0.05412
61332;0.05418
61333;0.05406
61334;0.05372
61335;0.05316
61336;0.05240
61337;0.05151
61338;0.05061
61339;0.04981
61340;0.04923
61341;0.04891
61342;0.04882
61343;0.04885
61344;0.04887
61345;0.04875
61346;0.04842
61347;0.04785
61348;0.04711
61349;0.04628
61350;0.04545
61351;0.04473
61352;0.04418
61353;0.04386
61354;0.04374
61355;0.04382
61356;0.04401
61357;0.04427
61358;0.04450
61359;0.04464
61360;0.04463
61361;0.04443
61362;0.04402
61363;0.04342
61364;0.04267
61365;0.04186
61366;0.04110
61367;0.04049
61368;0.04011
61369;0.03997
61370;0.04000
61371;0.04004
61372;0.03996
61373;0.03965
61374;0.03907
61375;0.03828
61376;0.03736
61377;0.03643
61378;0.03557
61379;0.03488
61380;0.03439
61381;0.03414
61382;0.03410
61383;0.03423
61384;0.03447
61385;0.03473
61386;0.03493
61387;0.03500
61388;0.03490
61389;0.03460
61390;0.03411
61391;0.03346
61392;0.03274
61393;0.03205
61394;0.03149
61395;0.03115
61396;0.03107
61397;0.03122
61398;0.03145
61399;0.03163
61400;0.03159
61401;0.03130
61402;0.03076
61403;0.03010
61404;0.02943
61405;0.02888
61406;0.02853
61407;0.02842
61408;0.02854
61409;0.02885
61410;0.02931
61411;0.02987
61412;0.03040
61413;0.03080
61414;0.03111
61415;0.03125
61416;0.03127
61417;0.03117
61418;0.03091
61419;0.03053
61420;0.03020
61421;0.02987
61422;0.02984
61423;0.03011
61424;0.03060
61425;0.03123
61426;0.03190
61427;0.03245
61428;0.03278
61429;0.03288
61430;0.03279
61431;0.03257
61432;0.03240
61433;0.03237
61434;0.03257
61435;0.03295
61436;0.03354
61437;0.03433
61438;0.03519
61439;0.03601
61440;0.03669
61441;0.03723
61442;0.03753
61443;0.03759
61444;0.03758
61445;0.03737
61446;0.03702
61447;0.03664
61448;0.03622
61449;0.03601
61450;0.03602
61451;0.03620
61452;0.03648
61453;0.03670
61454;0.03677
61455;0.03663
61456;0.03614
61457;0.03541
61458;0.03448
61459;0.03351
61460;0.03265
61461;0.03198
61462;0.03148
61463;0.03134
61464;0.03143
61465;0.03164
61466;0.03189
61467;0.03218
61468;0.03237
61469;0.03235
61470;0.03214
61471;0.03170
61472;0.03108
61473;0.03033
61474;0.02953
61475;0.02880
61476;0.02819
61477;0.02778
61478;0.02759
61479;0.02766
61480;0.02781
61481;0.02795
61482;0.02789
61483;0.02752
61484;0.02680
61485;0.02578
61486;0.02465
61487;0.02349
61488;0.02243
61489;0.02163
61490;0.02104
61491;0.02075
61492;0.02065
61493;0.02064
61494;0.02064
61495;0.02061
61496;0.02043
61497;0.02003
61498;0.01946
61499;0.01866
61500;0.01770
61501;0.01665
61502;0.01561
61503;0.01459
61504;0.01367
61505;0.01296
61506;0.01234
61507;0.01181
61508;0.01127
61509;0.01057
61510;0.00962
61511;0.00840
61512;0.00698
61513;0.00544
61514;0.00387
61515;0.00255
61516;0.00142
61517;0.00063
61518;0.00009
61519;-0.00008
61520;-0.00014
61521;-0.00029
61522;-0.00040
61523;-0.00054
61524;-0.00082
61525;-0.00121
61526;-0.00173
61527;-0.00239
61528;-0.00319
61529;-0.00390
61530;-0.00447
61531;-0.00490
61532;-0.00516
61533;-0.00519
61534;-0.00505
61535;-0.00482
61536;-0.00462
61537;-0.00461
61538;-0.00482
61539;-0.00520
61540;-0.00572
61541;-0.00630
61542;-0.00681
61543;-0.00706
61544;-0.00707
61545;-0.00703
61546;-0.00674
61547;-0.00634
61548;-0.00583
61549;-0.00532
61550;-0.00491
61551;-0.00462
61552;-0.00456
61553;-0.00459
